clean_id,Id,Floor,height,source_count,source_uids,height_insar_m,height_statistic,height_source_column,height_iqr_median_m,building_height_p05_m,building_height_p25_m,building_height_p50_m,building_height_p75_m,building_height_p85_m,building_height_p90_m,building_height_p95_m,building_height_max_m,building_height_grubbs_top_m,grubbs_top_removed_count,grubbs_top_remaining_count,grubbs_top_last_p,grubbs_top_reliable,max_height_reliable,max_height_reject_outlier,max_height_grubbs_p,max_height_grubbs_g,max_height_grubbs_gcrit,dem_error_median_m,roof_elevation_median_m,roof_elevation_p75_m,roof_elevation_p85_m,roof_elevation_p90_m,roof_elevation_p95_m,reference_elevation_median_m,pixel_count_used,point_count,island_count,max_island_uid_count,median_coherence,median_amplitude_dispersion,lgr_rmse_rad,valid_pairs_median,bperp_span_median,source_touying_fids,source_islands,prior_gap_m,has_insar_height,height_prior_m,review_multi_clean_id_island,review_negative_height,review_extreme_height,review_unreliable_max_height,review_large_prior_gap,qc_review,height_source
879,0,4,12,1,1122,33.21015167236328,grubbs_top,building_height_grubbs_top_m,-4.074547290802002,-7.33999752998352,-5.329004764556885,-2.9171152114868164,4.247420310974121,12.10724639892578,23.946704864501957,27.98317813873291,33.21015167236328,33.21015167236328,0.0,51.0,0.0937077273932049,True,True,False,0.0937077022256326,2.7975337505340576,2.9646987403255145,-4.165693759918213,1.0828847885131836,8.247420310974121,16.10724639892578,27.946704864501957,31.98317813873291,4.711829662322998,51.0,1.0,1.0,1.0,0.8806732296943665,0.3157173693180084,0.5058064460754395,17.0,473.2161865234375,879,567,,True,,False,False,False,False,False,False,insar_roof_only_strict
880,0,4,12,1,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
881,0,2,6,1,1124,9.630250930786133,grubbs_top,building_height_grubbs_top_m,2.2493858337402344,-3.234305572509766,-0.7988333702087402,2.2493858337402344,3.858227252960205,6.889655876159667,7.651116943359375,8.482282829284665,9.630250930786133,9.630250930786133,0.0,37.0,0.8005875206086459,True,True,False,0.8005874291306898,1.9773787260055544,2.835201602923409,2.0229804515838623,6.249385833740234,7.858227252960205,10.889655876159669,11.651116943359376,12.482282829284664,4.0,37.0,1.0,1.0,1.0,0.837159276008606,0.3548247516155243,0.7529551386833191,16.0,504.6864929199219,881,569,,True,,False,False,False,False,False,False,insar_roof_only_strict
882,0,8,24,1,1126,43.75410079956055,grubbs_top,building_height_grubbs_top_m,30.18781280517578,0.6891281127929687,7.626010894775391,30.18781280517578,35.802490234375,37.37256927490235,38.34651107788086,38.93077697753906,43.75410079956055,43.75410079956055,0.0,77.0,1.0,True,True,False,1.0,1.4106336832046509,3.1183205576860584,10.092992782592772,34.18781280517578,39.802490234375,41.37256927490235,42.34651107788086,42.93077697753906,23.817455291748047,77.0,1.0,1.0,1.0,0.8700718879699707,0.303537368774414,0.6114000082015991,19.0,360.5517883300781,882,570,,True,,False,False,False,False,False,False,insar_roof_only_strict
883,0,4,12,2,1128;1129,26.30710792541504,grubbs_top,building_height_grubbs_top_m,11.239065170288086,-7.390672159194946,4.061124324798584,11.239065170288086,17.155348777770996,19.121859169006346,20.267662811279298,22.963554954528806,26.30710792541504,26.30710792541504,0.0,99.0,1.0,True,True,False,1.0,1.8049999475479128,3.20609401961841,1.7308965921401978,15.239065170288086,21.155348777771,23.121859169006346,24.267662811279298,26.963554954528806,16.0,99.0,1.0,1.0,1.0,0.8443626761436462,0.3470924794673919,0.699929416179657,15.0,408.5389099121094,883,571,,True,,False,False,False,False,False,False,insar_roof_only_strict
884,0,1,3,1,1130,14.720842361450195,grubbs_top,building_height_grubbs_top_m,-3.4233126640319824,-6.090939235687256,-4.607483744621277,-3.4233126640319824,3.2848175764083862,10.571426820755006,12.011406230926513,13.341747665405272,14.720842361450195,14.720842361450195,0.0,128.0,1.0,True,True,False,1.0,2.110513925552368,3.291809732810739,-6.423312664031982,0.5766873359680176,7.284817576408386,14.571426820755006,16.01140623092651,17.341747665405272,7.0,128.0,1.0,1.0,1.0,0.8467246294021606,0.3239582777023315,0.5828732252120972,20.5,561.0567016601562,884,572,,True,,False,False,False,False,False,False,insar_roof_only_strict
885,0,6,18,3,1131;1206;1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
886,0,2,6,2,1132;1209,10.731778144836426,grubbs_top,building_height_grubbs_top_m,4.736480712890625,0.013208818435669,3.699602723121643,4.719841957092285,5.952709197998047,6.874924612045288,8.324175930023193,9.687026691436769,10.731778144836426,10.731778144836426,0.0,42.0,0.9624234855478684,True,True,False,0.9624234069526528,1.9602978229522705,2.88748519288549,-0.6120893657207489,8.719841957092285,9.952709197998049,10.87492461204529,12.324175930023191,13.687026691436769,10.0,42.0,1.0,1.0,1.0,0.8236123323440552,0.3559125065803528,0.6259012222290039,18.5,660.4149169921875,886,574,,True,,False,False,False,False,False,False,insar_roof_only_strict
887,0,7,21,1,1133,23.929561614990234,grubbs_top,building_height_grubbs_top_m,1.528027057647705,0.7125135064125062,1.1773992776870728,1.7492918968200684,9.057676553726196,20.60879802703857,22.1296329498291,23.257802200317386,23.929561614990234,23.929561614990234,0.0,20.0,0.3284079488606806,True,True,False,0.3284079603813206,2.0327420234680176,2.556581334492762,1.2379318475723269,5.749291896820068,13.057676553726196,24.60879802703857,26.1296329498291,27.257802200317386,4.0,20.0,1.0,1.0,1.0,0.8236618041992188,0.3521453738212585,0.6841611266136169,15.5,530.0452270507812,887,575,,True,,False,False,False,False,False,False,insar_roof_only_strict
888,0,5,15,4,1134;1221;1224;1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,False,False,False,False,False,no_strict_insar_solution
