clean_id,height_network48_m,phase_sigma_network48_rad,roof_iqr_network48_m,support_points,ground_points,unwrap_valid_support_points,gamma_sbas_output_points,points_after_iqr,median_mean_coherence,height_network36_m,phase_sigma_network36_rad,roof_iqr_network36_m,network_height_difference_m,absolute_network_height_difference_m,insar_height_m,median_phase_sigma_rad,roof_height_iqr_m,solution_source,filled_from_prior,insar_only,paper_median_height_m,upper_plateau_applied,upper_plateau_point_jaccard,upper_plateau_network_difference_m,aggregation_extension,upper_plateau_uplift_m
568,44.25163269042969,0.2640082240104675,6.278533935546875,77,40,63,63,33.0,0.828442212815086,43.42853546142578,0.2369309961795807,6.945781707763672,-0.8230972290039062,0.8230972290039062,43.840084075927734,0.5452273786067963,1.97747802734375,GAMMA_equal_network48_36_consensus,0,0,40.7777710556984,1,1.0,0.8230972290039062,dual_network_spatial_upper_plateau,3.0623130202293325
569,20.373900890350345,0.0825943350791931,1.8616251945495603,39,40,30,30,30.0,0.88626611387978,21.0185387134552,0.129576101899147,2.276947498321533,0.6446378231048548,0.6446378231048548,20.69621980190277,0.10608521848917,2.069286346435547,GAMMA_equal_network48_36_consensus,0,0,20.69621980190277,0,,,paper_IQR_median,0.0
570,49.686843395233154,0.1358380913734436,2.854339599609375,12,40,11,11,11.0,0.7890510658423106,50.3883535861969,0.0785301886498928,2.961261749267578,0.7015101909637451,0.7015101909637451,50.03759849071503,0.1071841400116682,2.907800674438477,GAMMA_equal_network48_36_consensus,0,0,50.03759849071503,0,,,paper_IQR_median,0.0
572,49.1057562828064,0.1826447620987892,3.4711084365844727,20,40,18,18,18.0,0.7858604999879997,49.11469292640686,0.1465624198317527,3.370366096496582,0.0089366436004638,0.0089366436004638,49.11022460460663,0.1646035909652709,3.420737266540528,GAMMA_equal_network48_36_consensus,0,0,49.11022460460663,0,,,paper_IQR_median,0.0
577,25.15656566619873,0.5380700826644897,1.089616775512695,17,40,17,17,15.0,0.8289606558779875,26.442479372024536,0.61911940574646,1.3806018829345703,1.2859137058258057,1.2859137058258057,25.799522519111637,0.5785947442054749,1.2351093292236328,GAMMA_equal_network48_36_consensus,0,0,25.799522519111637,0,,,paper_IQR_median,0.0
579,18.31892192363739,0.2165604382753372,2.491976499557495,19,40,18,18,18.0,0.8000775196899971,17.286622405052185,0.374500572681427,3.0178377628326416,-1.032299518585205,1.032299518585205,17.802772164344788,0.2955305054783821,2.7549071311950684,GAMMA_equal_network48_36_consensus,0,0,17.802772164344788,0,,,paper_IQR_median,0.0
580,6.5738391280174255,0.107690192759037,7.367199063301086,58,40,58,58,58.0,0.8010366174081961,5.551733464002609,0.0613947268575429,7.434637904167175,-1.0221056640148165,1.0221056640148165,6.062786296010017,0.0845424598082899,7.400918483734131,GAMMA_equal_network48_36_consensus,0,0,6.062786296010017,0,,,paper_IQR_median,0.0
582,33.96430158615112,0.3577903807163238,2.045262336730957,18,40,15,15,15.0,0.8397887460887432,31.76151394844055,0.2485811337828636,1.2515296936035156,-2.2027876377105717,2.2027876377105717,32.86290776729584,0.3031857572495937,1.6483960151672363,GAMMA_equal_network48_36_consensus,0,0,32.86290776729584,0,,,paper_IQR_median,0.0
584,25.9560968875885,0.2038956508040428,5.4449896812438965,8,40,8,8,8.0,0.7590994328881304,24.083014845848083,0.4561713933944702,1.5315427780151367,-1.8730820417404173,1.8730820417404173,25.01955586671829,0.3300335220992565,3.4882662296295166,GAMMA_equal_network48_36_consensus,0,0,25.01955586671829,0,,,paper_IQR_median,0.0
600,18.916205883026123,0.2083670645952224,3.609414577484131,21,40,20,20,20.0,0.7938438799853126,17.669447898864746,0.1606474816799163,2.160121440887451,-1.246757984161377,1.246757984161377,18.292826890945435,0.1845072731375693,2.884768009185791,GAMMA_equal_network48_36_consensus,0,0,18.292826890945435,0,,,paper_IQR_median,0.0
