building_uid,selected_pixel_count,iqr_retained_pixel_count,paper_text_median_m,original_code_range_m,robust_q95_q05_height_m,relative_height_q05_m,relative_height_q95_m,median_phase_residual_rms_rad,median_height_sigma_m,paper_text_median_45_m,robust_height_45_m,robust_height_network_difference_m,ground_ellipsoid_height_m,recommended_building_height_m,roof_ellipsoid_height_m,quality_pass,height_definition
67655,165,165,52.22271728515625,98.96683639287949,74.36451349258421,6.358524227142334,80.72303771972655,3.1642961502075195,10.715597152709961,49.388954162597656,73.16345806121825,1.2010554313659583,-2.560185670852661,74.36451349258421,71.80432782173155,False,SBAS像元相对高差的P95-P05；非先验填充
67656,107,107,37.97332763671875,101.67429065704346,66.49429397583006,22.45247039794922,88.94676437377927,1.8432729244232178,6.816009998321533,35.905792236328125,66.6830575942993,-0.18876361846923828,-2.414789915084839,66.49429397583006,64.07950406074522,True,SBAS像元相对高差的P95-P05；非先验填充
67955,247,245,9.735939979553223,91.25791311264038,72.43132739067077,-3.2356952190399166,69.19563217163086,3.601119041442871,3.5911202430725098,10.093523502349854,72.17241718769074,0.258910202980033,0.4767104983329773,72.43132739067077,72.90803788900375,True,SBAS像元相对高差的P95-P05；非先验填充
67956,301,301,14.992898941040039,109.92654609680176,94.60999965667725,-11.360617637634277,83.24938201904297,1.7220158576965332,4.023764610290527,14.23086166381836,95.14990234375,-0.5399026870727539,1.1216238737106323,94.60999965667725,95.73162353038788,True,SBAS像元相对高差的P95-P05；非先验填充
67957,90,90,12.380260467529297,73.51235771179199,63.13818144798278,-3.0316993236541747,60.10648212432861,2.2579504251480103,2.5974191427230835,12.04416799545288,62.45322928428649,0.6849521636962876,-2.8246171474456787,63.13818144798278,60.3135643005371,True,SBAS像元相对高差的P95-P05；非先验填充
67958,134,116,14.373405933380127,87.63659602403641,74.11788915395736,2.450636160373688,76.56852531433105,2.8235634565353394,10.442704677581787,13.827609539031982,72.98519103527069,1.132698118686676,-1.117429494857788,74.11788915395736,73.00045965909958,False,SBAS像元相对高差的P95-P05；非先验填充
67960,144,124,0.6823725998401642,100.97515392303467,48.334062290191625,-5.959812450408935,42.37424983978269,2.494513511657715,1.5651521682739258,0.6652246713638306,49.01132943630217,-0.6772671461105446,0.1169966384768486,48.334062290191625,48.45105892866847,True,SBAS像元相对高差的P95-P05；非先验填充
68091,24,24,5.248276233673096,14.487240433692932,11.580017399787897,1.8188765287399293,13.398893928527826,3.87515127658844,13.912147045135498,3.743293046951294,13.686309145390982,-2.1062917456030856,-1.3646748065948486,11.580017399787897,10.215342593193048,False,SBAS像元相对高差的P95-P05；非先验填充
70031,299,299,17.633480072021484,65.96637058258057,41.72796828746795,-2.221411204338074,39.50655708312988,0.26380953192710876,0.8517823219299316,17.644193649291992,41.62612538337707,0.10184290409087993,3.27846097946167,41.72796828746795,45.00642926692962,True,SBAS像元相对高差的P95-P05；非先验填充
70032,148,148,9.204641342163086,45.758180141448975,40.79750690460205,-5.39735107421875,35.400155830383305,0.3911088854074478,1.2289369702339172,9.095141887664795,40.75012097358704,0.04738593101501465,1.8625805377960205,40.79750690460205,42.66008744239807,True,SBAS像元相对高差的P95-P05；非先验填充
70040,218,218,17.272294998168945,58.178359031677246,42.09224512577056,-2.2629141092300413,39.82933101654052,3.0931507349014282,9.169560432434082,18.321165084838867,40.79426841437816,1.2979767113924012,0.34077513217926025,42.09224512577056,42.43302025794982,True,SBAS像元相对高差的P95-P05；非先验填充
70203,234,220,2.9425928592681885,121.27497482299805,107.44904479980467,-23.937185287475586,83.51185951232908,0.9602150321006775,2.9202481508255005,2.4768043756484985,102.92494001388548,4.524104785919192,28.752355575561523,107.44904479980467,136.20140037536618,True,SBAS像元相对高差的P95-P05；非先验填充
70450,3,3,28.57652473449707,19.450359344482422,17.50532341003418,22.172602653503418,39.6779260635376,4.029121398925781,15.334985733032227,31.452333450317383,14.53542881011963,2.96989459991455,-3.0898947715759277,17.50532341003418,14.415428638458252,False,SBAS像元相对高差的P95-P05；非先验填充
70453,58,55,22.516080856323242,22.652761459350586,10.692298269271848,15.33999571800232,26.03229398727417,2.9733020067214966,2.054761052131653,22.576017379760742,10.594357061386107,0.09794120788574112,10.200630187988281,10.692298269271848,20.89292845726013,True,SBAS像元相对高差的P95-P05；非先验填充
70454,25,21,-0.8877485394477844,7.057668685913086,4.396417665481566,-3.7892627716064453,0.6071548938751209,0.2464151382446289,0.7487039566040039,-1.1086305379867554,4.505096918344496,-0.10867925286293012,8.057308197021484,4.396417665481566,12.45372586250305,True,SBAS像元相对高差的P95-P05；非先验填充
70455,91,82,-1.148223876953125,37.510663986206055,20.715269088745117,-9.318775177001953,11.396493911743164,3.0247011184692383,1.9975790977478027,-1.5947776436805725,36.762956619262695,-16.047687530517578,0.4030989110469818,20.715269088745117,21.1183679997921,False,SBAS像元相对高差的P95-P05；非先验填充
70477,10,10,10.904364109039307,21.03170943260193,17.518482649326323,4.518647611141205,22.037130260467528,2.715246558189392,2.6950085163116455,10.935800552368164,16.250488781929015,1.2679938673973083,-1.8562674522399902,17.518482649326323,15.662215197086333,True,SBAS像元相对高差的P95-P05；非先验填充
70478,8,8,21.01393413543701,5.884992599487305,5.645927715301514,17.310980224609374,22.956907939910888,4.797064542770386,17.662595748901367,21.04306125640869,5.785164928436281,-0.13923721313476634,-3.576462984085083,5.645927715301514,2.0694647312164314,False,SBAS像元相对高差的P95-P05；非先验填充
