building_uid,Floor,recommended_building_height_m,paper_text_median_m,original_code_range_m,quality_pass,floor_nominal_3m_audit_only,recommended_minus_nominal_m
65547,32,62.74949808120727,26.87342929840088,74.30377864837646,True,96.0,-33.25050191879273
65548,32,47.87937726974487,18.542530059814453,61.88427484035492,True,96.0,-48.12062273025513
65692,34,6.79837763607502,2.320158004760742,9.865278244018555,True,102.0,-95.20162236392498
65716,34,8.427865314483642,19.709721565246582,13.715625762939453,False,102.0,-93.57213468551636
65717,34,7.869259750843047,4.441106557846069,8.290358304977417,False,102.0,-94.13074024915696
67458,33,48.92029247283936,29.949247360229492,58.796767234802246,True,99.0,-50.07970752716064
67485,31,35.96003794670105,16.252443313598633,55.68414115905762,True,93.0,-57.03996205329895
67549,32,2.9974799752235413,0.32904407382011414,3.2132188081741333,True,96.0,-93.00252002477646
67634,34,82.76452796459199,34.32276916503906,103.34469032287598,True,102.0,-19.23547203540801
67635,34,60.186260414123495,34.0357666015625,90.36192119121552,True,102.0,-41.813739585876505
67651,34,75.03883647918701,51.0522346496582,97.58779621124268,True,102.0,-26.96116352081299
67652,38,75.6325015068054,11.405198097229004,116.42612314224243,True,114.0,-38.3674984931946
67653,38,31.360508310794824,9.107097625732422,61.737178802490234,True,114.0,-82.63949168920517
67654,38,78.26830258369445,38.842079162597656,92.38529300689697,True,114.0,-35.73169741630555
67655,38,74.36451349258421,52.22271728515625,98.96683639287949,False,114.0,-39.63548650741579
67656,38,66.49429397583006,37.97332763671875,101.67429065704346,True,114.0,-47.50570602416994
67955,39,72.43132739067077,9.735939979553223,91.25791311264038,True,117.0,-44.56867260932923
67956,39,94.60999965667725,14.992898941040039,109.92654609680176,True,117.0,-22.390000343322754
67957,39,63.13818144798278,12.380260467529297,73.51235771179199,True,117.0,-53.86181855201722
67958,39,74.11788915395736,14.373405933380127,87.63659602403641,False,117.0,-42.882110846042636
67960,48,48.334062290191625,0.6823725998401642,100.97515392303467,True,144.0,-95.66593770980838
68091,34,11.580017399787897,5.248276233673096,14.487240433692932,False,102.0,-90.41998260021211
70031,31,41.72796828746795,17.633480072021484,65.96637058258057,True,93.0,-51.27203171253205
70032,31,40.79750690460205,9.204641342163086,45.758180141448975,True,93.0,-52.20249309539795
70040,31,42.09224512577056,17.272294998168945,58.178359031677246,True,93.0,-50.90775487422944
70203,34,107.44904479980467,2.9425928592681885,121.27497482299805,True,102.0,5.449044799804668
70450,32,17.50532341003418,28.57652473449707,19.450359344482422,False,96.0,-78.49467658996582
70453,40,10.692298269271848,22.516080856323242,22.652761459350586,True,120.0,-109.30770173072816
70454,40,4.396417665481566,-0.8877485394477844,7.057668685913086,True,120.0,-115.60358233451844
70455,48,20.715269088745117,-1.148223876953125,37.510663986206055,False,144.0,-123.28473091125488
70477,32,17.518482649326323,10.904364109039307,21.03170943260193,True,96.0,-78.48151735067367
70478,32,5.645927715301514,21.01393413543701,5.884992599487305,False,96.0,-90.35407228469849
70479,32,14.836086797714227,0.33894914388656616,18.403236389160156,True,96.0,-81.16391320228577
70601,31,4.469862002134323,-1.930215984582901,4.9665133357048035,False,93.0,-88.53013799786568
70642,31,53.21646547317505,8.218977451324463,75.94754981994629,False,93.0,-39.78353452682495
